节点编号,时间戳,空气温度(℃),空气湿度(%),土壤温度(℃),土壤水分(%),空气CO2浓度(ppm),光照强度(lux)
6001, 2014-03-12 06:48:53,8.00,50.06,7.31,46.92,0.00,0.00
6001, 2014-03-12 06:43:52,8.10,49.89,7.38,46.92,0.00,0.00
6001, 2014-03-12 06:38:52,8.24,49.31,7.38,46.96,0.00,0.00
6001, 2014-03-12 06:34:45,8.45,47.69,7.38,46.87,0.00,0.00
6001, 2014-03-12 06:31:41,8.61,46.92,7.38,46.87,0.00,0.00
6001, 2014-03-12 06:26:41,8.81,45.31,7.38,46.92,0.00,0.00
6001, 2014-03-12 06:21:47,8.86,44.61,7.38,46.92,0.00,0.00
6001, 2014-03-12 06:21:41,8.86,44.61,7.38,46.92,0.00,0.00
6001, 2014-03-12 06:16:42,8.75,44.16,7.44,46.92,0.00,0.00
6001, 2014-03-12 06:09:34,8.35,47.25,7.44,46.92,0.00,0.00
6001, 2014-03-12 06:04:40,8.42,48.69,7.44,46.96,0.00,0.00
6001, 2014-03-12 05:59:34,8.44,48.36,7.44,46.96,0.00,0.00
6001, 2014-03-12 05:54:46,8.39,48.38,7.44,46.96,0.00,0.00
6001, 2014-03-12 05:54:35,8.39,48.38,7.44,46.96,0.00,0.00
6001, 2014-03-12 05:49:30,8.46,48.64,7.44,46.87,0.00,0.00
6001, 2014-03-12 05:44:29,8.60,47.59,7.44,46.87,0.00,0.00
6001, 2014-03-12 05:39:29,8.69,46.86,7.44,46.92,0.00,0.00
6001, 2014-03-12 05:34:35,8.48,46.90,7.50,46.96,0.00,0.00
6001, 2014-03-12 05:34:29,8.48,46.90,7.50,46.96,0.00,0.00
6001, 2014-03-12 05:29:27,8.48,48.64,7.50,46.92,0.00,0.00
6001, 2014-03-12 05:24:32,8.53,47.43,7.50,46.92,0.00,0.00
6001, 2014-03-12 05:24:26,8.53,47.43,7.50,46.92,0.00,0.00
6001, 2014-03-12 05:19:28,8.46,47.39,7.50,46.96,0.00,0.00
6001, 2014-03-12 05:14:27,8.45,47.45,7.50,46.96,0.00,0.00
6001, 2014-03-12 05:09:21,8.52,47.33,7.50,46.92,0.00,0.00
6001, 2014-03-12 05:04:21,8.52,46.60,7.50,46.96,0.00,0.00
6001, 2014-03-12 04:59:32,8.38,46.33,7.56,46.92,0.00,0.00
6001, 2014-03-12 04:59:26,8.38,46.33,7.56,46.92,0.00,0.00
6001, 2014-03-12 04:59:21,8.38,46.33,7.56,46.92,0.00,0.00
6001, 2014-03-12 04:54:20,8.34,47.46,7.56,46.96,0.00,0.00
6001, 2014-03-12 04:48:13,8.33,47.43,7.56,46.92,0.00,0.00
6001, 2014-03-12 04:43:13,8.51,48.06,7.56,46.92,0.00,0.00
6001, 2014-03-12 04:38:13,8.70,46.50,7.56,46.96,0.00,0.00
6001, 2014-03-12 04:33:13,8.78,46.66,7.56,46.96,0.00,0.00
6001, 2014-03-12 04:27:08,8.94,44.90,7.63,46.92,0.00,0.00
6001, 2014-03-12 04:22:08,8.89,44.92,7.63,46.96,0.00,0.00
6001, 2014-03-12 04:17:50,8.88,45.38,7.63,46.96,0.00,0.00
6001, 2014-03-12 04:09:52,9.02,44.72,7.63,46.92,0.00,0.00
6001, 2014-03-12 04:09:46,9.02,44.72,7.63,46.92,0.00,0.00
6001, 2014-03-12 04:04:44,9.13,44.95,7.63,46.96,0.00,0.00
6001, 2014-03-12 03:59:46,8.98,44.44,7.63,46.96,0.00,0.00
6001, 2014-03-12 03:54:46,8.93,45.82,7.69,46.96,0.00,0.00
6001, 2014-03-12 03:49:41,9.03,46.11,7.69,46.92,0.00,0.00
6001, 2014-03-12 03:44:40,9.06,45.19,7.69,46.96,0.00,0.00
6001, 2014-03-12 03:39:47,9.36,45.20,7.69,46.96,0.00,0.00
6001, 2014-03-12 03:39:41,9.36,45.20,7.69,46.96,0.00,0.00
6001, 2014-03-12 03:34:41,9.60,44.05,7.69,46.96,0.00,0.00
6001, 2014-03-12 03:26:48,9.88,41.93,7.69,46.96,0.00,0.00
6001, 2014-03-12 03:26:43,9.88,41.93,7.69,46.96,0.00,0.00
6001, 2014-03-12 03:26:37,9.88,41.93,7.69,46.96,0.00,0.00
6001, 2014-03-12 03:21:42,9.92,41.87,7.69,46.96,0.00,0.00
6001, 2014-03-12 03:21:35,9.92,41.87,7.69,46.96,0.00,0.00
6001, 2014-03-12 03:16:37,9.98,41.94,7.69,46.96,0.00,0.00
6001, 2014-03-12 03:09:36,9.93,42.38,7.69,46.92,0.00,0.00
6001, 2014-03-12 02:59:37,10.00,42.82,7.75,46.92,0.00,0.00
6001, 2014-03-12 02:59:30,10.00,42.82,7.75,46.92,0.00,0.00
6001, 2014-03-12 02:52:23,10.18,42.72,7.75,46.92,0.00,0.00
6001, 2014-03-12 02:47:30,10.30,41.42,7.75,46.92,0.00,0.00
6001, 2014-03-12 02:47:25,10.30,41.42,7.75,46.92,0.00,0.00
6001, 2014-03-12 02:42:23,10.42,42.15,7.75,46.96,0.00,0.00
6001, 2014-03-12 02:37:23,10.51,41.44,7.75,46.96,0.00,0.00
6001, 2014-03-12 02:30:23,10.64,41.39,7.75,46.96,0.00,0.00
6001, 2014-03-12 02:30:18,10.64,41.39,7.75,46.96,0.00,0.00
6001, 2014-03-12 02:25:37,10.68,41.96,7.75,46.96,0.00,0.00
6001, 2014-03-12 02:20:49,10.76,40.87,7.81,46.96,0.00,0.00
6001, 2014-03-12 02:20:36,10.76,40.87,7.81,46.96,0.00,0.00
6001, 2014-03-12 02:15:38,10.90,41.30,7.81,46.92,0.00,0.00
6001, 2014-03-12 02:08:44,11.12,39.87,7.81,46.92,0.00,0.00
6001, 2014-03-12 02:08:39,11.12,39.87,7.81,46.92,0.00,0.00
6001, 2014-03-12 02:03:32,11.13,40.19,7.81,46.92,0.00,0.00
6001, 2014-03-12 01:58:32,11.16,40.29,7.81,46.96,0.00,0.00
6001, 2014-03-12 01:48:31,11.18,41.58,7.81,46.92,0.00,0.00
6001, 2014-03-12 01:48:25,11.18,41.58,7.81,46.92,0.00,0.00
6001, 2014-03-12 01:43:38,11.33,40.97,7.81,46.96,0.00,0.00
6001, 2014-03-12 01:38:25,11.29,40.33,7.81,46.96,0.00,0.00
6001, 2014-03-12 01:33:25,11.34,41.35,7.88,46.96,0.00,0.00
6001, 2014-03-12 01:30:21,11.39,40.79,7.81,46.96,0.00,0.00
6001, 2014-03-12 01:25:21,11.49,40.64,7.81,47.01,0.00,0.00
6001, 2014-03-12 01:20:21,11.50,40.23,7.88,46.96,0.00,0.00
6001, 2014-03-12 01:15:21,11.53,40.36,7.88,46.96,0.00,0.00
6001, 2014-03-12 01:10:14,11.48,40.70,7.88,46.92,0.00,0.00
6001, 2014-03-12 01:05:13,11.50,40.89,7.88,99.00,0.00,0.00
6001, 2014-03-12 01:00:45,11.54,41.50,7.88,46.96,0.00,0.00
6001, 2014-03-12 00:55:44,11.56,42.31,7.88,46.92,0.00,0.00
6001, 2014-03-12 00:50:40,11.51,43.03,7.88,46.96,0.00,0.00
6001, 2014-03-12 00:45:40,11.47,43.28,7.94,46.96,0.00,0.00
6001, 2014-03-12 00:40:46,11.50,43.84,7.88,46.96,0.00,0.00
6001, 2014-03-12 00:35:40,11.58,43.76,7.88,46.96,0.00,0.00
6001, 2014-03-12 00:32:33,11.55,43.75,7.88,46.96,0.00,0.00
6001, 2014-03-12 00:27:32,11.43,44.11,7.88,47.01,0.00,0.00
6001, 2014-03-12 00:22:39,11.32,45.59,7.88,47.01,0.00,0.00
6001, 2014-03-12 00:17:45,11.27,46.83,7.94,46.96,0.00,0.00
6001, 2014-03-12 00:04:26,11.34,47.51,7.94,47.01,0.00,0.00
6001, 2014-03-11 23:59:26,11.50,47.32,7.94,46.96,0.00,0.00
6001, 2014-03-11 23:54:26,11.47,46.73,7.94,47.01,0.00,0.00
6001, 2014-03-11 23:51:23,11.40,47.71,7.94,46.96,0.00,0.00
6001, 2014-03-11 23:46:23,11.25,48.09,7.94,46.96,0.00,0.00
6001, 2014-03-11 23:41:23,11.27,50.69,7.94,47.01,0.00,0.00
6001, 2014-03-11 23:36:29,11.32,51.77,7.94,47.01,0.00,0.00
6001, 2014-03-11 23:36:23,11.32,51.77,7.94,47.01,0.00,0.00
6001, 2014-03-11 23:31:15,11.43,52.78,7.94,47.01,0.00,0.00
6001, 2014-03-11 23:26:15,11.44,52.57,8.00,47.01,0.00,0.00
6001, 2014-03-11 23:16:21,11.48,55.71,7.94,47.06,0.00,0.00
6001, 2014-03-11 23:08:13,11.38,58.03,7.94,47.01,0.00,0.00
6001, 2014-03-11 23:03:13,11.42,59.96,7.94,47.01,0.00,0.00
6001, 2014-03-11 22:58:13,11.43,61.29,7.94,47.06,0.00,0.00
6001, 2014-03-11 22:53:12,11.43,62.78,7.94,47.01,0.00,0.00
6001, 2014-03-11 22:48:11,11.32,63.75,8.00,47.06,0.00,0.00
6001, 2014-03-11 22:43:34,11.30,66.21,8.00,47.06,0.00,0.00
6001, 2014-03-11 22:27:34,11.41,69.13,8.00,47.06,0.00,0.00
6001, 2014-03-11 22:22:28,11.44,69.87,7.94,47.06,0.00,0.00
6001, 2014-03-11 22:17:40,11.53,70.32,8.00,47.06,0.00,0.00
6001, 2014-03-11 22:10:25,11.67,70.06,8.00,47.01,0.00,0.00
6001, 2014-03-11 22:05:27,11.72,70.07,8.00,47.06,0.00,0.00
6001, 2014-03-11 21:55:31,11.81,70.03,8.00,47.06,0.00,0.00
6001, 2014-03-11 21:55:25,11.81,70.03,8.00,47.06,0.00,0.00
6001, 2014-03-11 21:49:21,11.88,69.90,8.00,47.01,0.00,0.00
6001, 2014-03-11 21:44:20,11.89,69.65,8.00,47.06,0.00,0.00
6001, 2014-03-11 21:39:21,11.90,69.53,8.00,47.06,0.00,0.00
6001, 2014-03-11 21:34:21,11.82,69.80,8.00,47.11,0.00,0.00
6001, 2014-03-11 21:31:13,11.83,69.64,8.00,47.06,0.00,0.00
6001, 2014-03-11 21:26:25,11.76,69.85,8.00,47.06,0.00,0.00
6001, 2014-03-11 21:26:19,11.76,69.85,8.00,47.06,0.00,0.00
6001, 2014-03-11 21:26:13,11.76,69.85,8.00,47.06,0.00,0.00
6001, 2014-03-11 21:21:25,11.63,69.97,8.00,47.06,0.00,0.00
6001, 2014-03-11 21:21:13,11.63,69.97,8.00,47.06,0.00,0.00
6001, 2014-03-11 21:16:19,11.47,70.45,8.00,47.11,0.00,0.00
6001, 2014-03-11 21:16:13,11.47,70.45,8.00,47.11,0.00,0.00
6001, 2014-03-11 21:02:14,11.26,71.26,8.06,47.11,0.00,0.00
6001, 2014-03-11 21:02:08,11.26,71.26,8.06,47.11,0.00,0.00
6001, 2014-03-11 20:46:12,11.01,72.39,8.00,47.11,0.00,0.00
6001, 2014-03-11 20:31:58,10.60,75.10,8.06,47.11,0.00,0.00
6001, 2014-03-11 20:26:56,10.56,74.82,8.06,47.16,0.00,0.00
6001, 2014-03-11 20:22:03,10.48,75.52,8.06,47.11,0.00,0.00
6001, 2014-03-11 20:16:56,10.40,75.78,8.06,47.11,0.00,0.00
6001, 2014-03-11 20:08:54,10.50,75.50,8.06,47.11,0.00,0.00
6001, 2014-03-11 20:03:54,10.52,75.25,8.06,47.16,0.00,0.00
6001, 2014-03-11 19:59:01,10.53,75.17,8.06,47.20,0.00,0.00
6001, 2014-03-11 19:53:55,10.62,74.69,8.06,47.16,0.00,0.00
6001, 2014-03-11 19:43:46,10.95,71.96,8.06,47.11,0.00,0.00
6001, 2014-03-11 19:33:47,11.16,70.19,8.00,47.16,0.00,0.00
6001, 2014-03-11 19:31:41,11.14,70.24,8.00,47.11,0.00,0.00
6001, 2014-03-11 19:21:42,10.92,71.42,8.06,47.16,0.00,0.00
6001, 2014-03-11 19:17:24,10.80,71.65,8.00,47.16,0.00,0.00
6001, 2014-03-11 19:09:17,10.97,71.82,8.06,47.11,0.00,0.00
6001, 2014-03-11 19:04:17,11.09,70.86,8.00,47.16,0.00,0.00
6001, 2014-03-11 18:59:58,11.08,70.69,8.00,47.16,0.00,0.00
6001, 2014-03-11 18:54:58,11.00,71.01,8.06,47.16,0.00,0.00
6001, 2014-03-11 18:49:54,11.02,71.66,8.00,47.11,0.00,0.00
6001, 2014-03-11 18:44:54,11.02,71.44,8.00,47.16,0.00,0.00
6001, 2014-03-11 18:39:53,11.03,71.35,8.00,47.20,0.00,0.00
6001, 2014-03-11 18:34:54,10.89,72.40,8.00,47.20,0.00,0.00
6001, 2014-03-11 18:27:49,10.83,73.62,8.00,47.16,0.00,0.00
6001, 2014-03-11 18:22:48,10.79,74.00,8.00,47.20,0.00,0.00
6001, 2014-03-11 18:17:49,10.84,75.10,8.00,47.20,0.00,0.00
6001, 2014-03-11 18:09:44,11.05,73.38,8.00,47.11,0.00,0.00
6001, 2014-03-11 18:04:44,11.18,72.57,8.00,47.11,0.00,0.00
6001, 2014-03-11 17:59:44,11.34,72.01,7.94,47.16,0.00,0.00
6001, 2014-03-11 17:54:48,11.50,70.77,8.00,47.16,0.00,0.00
6001, 2014-03-11 17:47:37,11.70,69.21,8.00,47.16,0.00,0.00
6001, 2014-03-11 17:42:43,11.82,68.29,7.94,47.16,0.00,0.00
6001, 2014-03-11 17:42:37,11.82,68.29,7.94,47.16,0.00,0.00
6001, 2014-03-11 17:37:37,11.85,67.84,7.94,47.16,0.00,0.00
6001, 2014-03-11 17:32:32,11.86,68.36,7.94,47.16,0.00,0.00
6001, 2014-03-11 17:27:31,11.94,68.60,7.94,47.20,0.00,0.00
6001, 2014-03-11 17:23:02,12.00,68.21,7.94,47.16,0.00,0.00
6001, 2014-03-11 17:18:02,12.07,66.99,7.94,47.16,0.00,0.00
6001, 2014-03-11 17:08:59,12.16,67.29,7.88,47.11,0.00,0.00
6001, 2014-03-11 17:03:58,12.14,66.42,7.94,47.16,0.00,0.00
6001, 2014-03-11 16:58:58,12.16,67.98,7.88,47.16,0.00,0.00
6001, 2014-03-11 16:51:56,12.16,67.38,7.88,47.16,0.00,0.00
6001, 2014-03-11 16:37:08,12.20,66.32,7.88,47.16,0.00,0.00
6001, 2014-03-11 16:32:04,12.29,66.68,7.81,47.11,0.00,0.00
6001, 2014-03-11 16:27:03,12.38,65.86,7.81,47.16,0.00,0.00
6001, 2014-03-11 16:22:10,12.46,67.17,7.81,47.16,0.00,0.00
6001, 2014-03-11 16:22:05,12.46,67.17,7.81,47.16,0.00,0.00
6001, 2014-03-11 16:17:05,12.53,64.58,7.81,47.16,0.00,0.00
6001, 2014-03-11 16:12:01,12.64,63.40,7.81,47.11,0.00,0.00
6001, 2014-03-11 16:07:00,12.74,63.68,7.81,47.11,0.00,0.00
6001, 2014-03-11 16:02:01,12.82,63.93,7.75,47.11,0.00,0.00
6001, 2014-03-11 15:57:00,12.92,64.79,7.75,47.16,0.00,0.00
6001, 2014-03-11 15:49:58,12.94,63.98,7.75,47.11,0.00,0.00
6001, 2014-03-11 15:44:52,13.02,64.19,7.69,47.16,0.00,0.00
6001, 2014-03-11 15:34:57,13.15,63.43,7.69,47.16,0.00,0.00
6001, 2014-03-11 15:34:51,13.15,63.43,7.69,47.16,0.00,0.00
6001, 2014-03-11 15:31:47,13.18,64.13,7.69,47.06,0.00,0.00
6001, 2014-03-11 15:26:48,13.22,61.41,7.69,47.11,0.00,0.00
6001, 2014-03-11 15:21:48,13.36,62.05,7.69,47.11,0.00,0.00
6001, 2014-03-11 15:16:54,13.48,62.13,7.63,47.06,0.00,0.00
6001, 2014-03-11 15:11:47,13.56,62.05,7.63,47.06,0.00,0.00
6001, 2014-03-11 15:11:40,13.56,62.05,7.63,47.06,0.00,0.00
6001, 2014-03-11 15:06:40,13.56,59.56,7.63,47.11,0.00,0.00
6001, 2014-03-11 15:01:46,13.61,57.81,7.56,99.00,0.00,0.00
6001, 2014-03-11 15:01:40,13.61,57.81,7.56,99.00,0.00,0.00
6001, 2014-03-11 14:57:24,13.65,59.52,7.56,47.16,0.00,0.00
6001, 2014-03-11 14:50:16,13.78,59.87,7.56,47.11,0.00,0.00
6001, 2014-03-11 14:45:16,13.84,56.01,7.56,47.11,0.00,0.00
6001, 2014-03-11 14:40:17,13.92,57.41,7.56,47.11,0.00,0.00
6001, 2014-03-11 14:31:21,14.00,57.39,7.50,47.11,0.00,0.00
6001, 2014-03-11 14:31:15,14.00,57.39,7.50,47.11,0.00,0.00
6001, 2014-03-11 14:26:15,14.09,57.61,7.50,47.06,0.00,0.00
6001, 2014-03-11 14:21:21,14.08,59.44,7.44,47.11,0.00,0.00
6001, 2014-03-11 14:16:14,14.09,55.90,7.44,47.11,0.00,0.00
6001, 2014-03-11 14:10:04,14.14,56.84,7.44,47.06,0.00,0.00
6001, 2014-03-11 14:05:05,14.15,56.69,7.38,47.11,0.00,0.00
6001, 2014-03-11 14:00:06,14.16,57.14,7.38,47.11,0.00,0.00
6001, 2014-03-11 13:55:05,14.19,56.64,7.38,47.06,0.00,0.00
6001, 2014-03-11 13:52:58,14.25,56.16,7.38,47.06,0.00,0.00
6001, 2014-03-11 13:48:05,14.24,56.95,7.31,47.11,0.00,0.00
6001, 2014-03-11 13:42:59,14.28,55.56,7.31,47.11,0.00,0.00
